Sigla da UF,Código do Município,Nome do Município,Rede,IDEB
ro,1101401,monte negro,pública,3.4
rr,1400027,amajari,estadual,3.8
pa,1505486,pacajá,pública,3.2
ap,1600808,vitória do jari,pública,3.4
to,1700251,abreulândia,estadual,-
to,1702158,araguanã,estadual,3.7
to,1702406,arraias,municipal,-
to,1714302,nazaré,pública,3.3
ma,2104099,formosa da serra negra,pública,2.9
ma,2105104,icatu,municipal,2.7
ma,2107902,passagem franca,estadual,3.3
ma,2108603,pinheiro,estadual,3.7
pi,2207603,parnaguá,municipal,3.2
pi,2211704,wall ferraz,municipal,3.0
ce,2300754,amontada,estadual,3.2
ce,2304285,eusébio,municipal,3.9
ce,2310704,pentecoste,pública,3.1
rn,2404507,guamaré,pública,2.5
rn,2407500,maxaranguape,pública,2.5
pb,2504157,casserengue,municipal,2.4
pb,2504207,catingueira,estadual,1.6
pb,2506103,fagundes,municipal,2.7
pb,2513208,santa cruz,estadual,2.4
pe,2604403,chã de alegria,estadual,2.0
pe,2609154,manari,pública,2.5
al,2706109,ouro branco,estadual,-
al,2706505,passo de camaragibe,pública,1.8
se,2802809,indiaroba,estadual,2.7
se,2805000,pedra mole,pública,-
ba,2903805,boa vista do tupim,municipal,2.3
ba,2914505,irará,municipal,2.7
ba,2917706,jaguarari,pública,2.5
ba,2928208,santana,pública,3.3
mg,3101102,aimorés,municipal,3.5
mg,3105202,bandeira,estadual,2.4
mg,3107307,bocaiúva,pública,3.3
mg,3110905,campanha,municipal,-
mg,3112000,candeias,estadual,3.4
mg,3129202,heliodora,pública,3.3
mg,3130200,igaratinga,estadual,3.5
mg,3132503,itamarandiba,estadual,3.6
mg,3140001,mariana,pública,3.2
mg,3146206,ouro verde de minas,pública,2.6
mg,3151107,pirapetinga,estadual,3.8
mg,3155702,rio piracicaba,municipal,4.1
mg,3156205,rochedo de minas,municipal,2.5
rj,3304805.0,são fidélis,estadual,5.0
sp,3503505.0,areias,municipal,3.6
sp,3509957.0,canas,pública,3.1
sp,3515301.0,estrela do norte,pública,4.3
sp,3517604.0,guapiara,pública,4.4
sp,3519204.0,iacri,pública,4.5
sp,3520400.0,ilhabela,estadual,4.0
sp,3533205.0,nova independência,municipal,3.9
sp,3551504.0,serrana,pública,3.5
sp,3552403.0,sumaré,municipal,4.5
pr,4120903.0,quedas do iguaçu,estadual,3.7
