Ano,Dependencia_Administrativa,Taxa_Abandono
2013,Estadual,5.227725631768953
2013,Federal,1.315136476426799
2013,Municipal,3.9582444626743234
2013,Privada,0.608623298033283
2013,Pública,4.963852813852814
2013,Total,4.545598845598845
2014,Estadual,5.079088277858177
2014,Federal,1.162453066332916
2014,Municipal,4.15995085995086
2014,Privada,0.6071969696969697
2014,Pública,4.767965367965368
2014,Total,4.354112554112554
2015,Estadual,4.993100944081336
2015,Federal,1.5367088607594936
2015,Municipal,3.517656765676567
2015,Privada,0.5323795180722891
2015,Pública,4.525757575757575
2015,Total,4.141053391053391
2016,Estadual,4.614804063860667
2016,Federal,1.5025220680958387
2016,Municipal,3.515969899665552
2016,Privada,0.5843609022556391
2016,Pública,4.188528138528139
2016,Total,3.831024531024531
2017,Estadual,4.082653061224489
2017,Federal,1.0621026894865526
2017,Municipal,3.041324392288349
2017,Privada,0.4757507507507508
2017,Pública,3.7310245310245307
2017,Total,3.4202741702741704
2018,Estadual,3.811078717201166
2018,Federal,0.8822521419828641
2018,Municipal,2.974764756201882
2018,Privada,0.3831460674157303
2018,Pública,3.5041847041847043
2018,Total,3.2240259740259742
2019,Estadual,3.1661325564457394
2019,Federal,0.7674907292954264
2019,Municipal,2.401864406779661
2019,Privada,0.42103293413173654
2019,Pública,2.8854256854256852
2019,Total,2.664862914862915
2020,Estadual,1.888694383661561
2020,Federal,1.1395256916996046
2020,Municipal,1.3419437340153453
2020,Privada,1.6311659192825112
2020,Pública,1.4086580086580087
2020,Total,1.4898989898989898
2021,Estadual,2.983746355685131
2021,Federal,1.0640547263681592
2021,Municipal,2.285397096498719
2021,Privada,0.5847191011235955
2021,Pública,2.6945165945165943
2021,Total,2.5041847041847043
2022,Estadual,3.3913517441860463
2022,Federal,1.1541362530413626
2022,Municipal,2.37742214532872
2022,Privada,0.4368618618618618
2022,Pública,3.071645021645022
2022,Total,2.839249639249639
2023,Estadual,1.9623367198838897
2023,Federal,0.6596401028277635
2023,Municipal,1.3728373702422145
2023,Privada,0.41273408239700377
2023,Pública,1.7493506493506492
2023,Total,1.6143578643578644
