Ano,Regiao,Renda_Media
2013,Brasil,2821.3333333333335
2013,Centro-Oeste,3380.4347826086955
2013,Nordeste,1957.6273291925465
2013,Norte,2462.876033057851
2013,Sudeste,3040.042253521127
2013,Sul,3192.245283018868
2014,Brasil,2899.1666666666665
2014,Centro-Oeste,3464.913043478261
2014,Nordeste,2017.223602484472
2014,Norte,2474.8677685950415
2014,Sudeste,3154.9014084507044
2014,Sul,3265.4716981132074
2015,Brasil,2791.3333333333335
2015,Centro-Oeste,3302.304347826087
2015,Nordeste,1992.1180124223602
2015,Norte,2489.55737704918
2015,Sudeste,3059.788732394366
2015,Sul,3134.0
2016,Brasil,2760.1666666666665
2016,Centro-Oeste,3252.5652173913045
2016,Nordeste,1984.4037267080746
2016,Norte,2343.032520325203
2016,Sudeste,3068.6901408450703
2016,Sul,3102.6666666666665
2017,Brasil,2783.0
2017,Centro-Oeste,3318.478260869565
2017,Nordeste,1977.2608695652175
2017,Norte,2377.5853658536585
2017,Sudeste,3003.5915492957747
2017,Sul,3157.3333333333335
2018,Brasil,2833.1666666666665
2018,Centro-Oeste,3365.4347826086955
2018,Nordeste,2014.44099378882
2018,Norte,2472.7723577235774
2018,Sudeste,3111.0281690140846
2018,Sul,3180.3333333333335
2019,Brasil,2805.1666666666665
2019,Centro-Oeste,3299.086956521739
2019,Nordeste,2002.0621118012423
2019,Norte,2342.308943089431
2019,Sudeste,3141.8732394366198
2019,Sul,3237.3333333333335
2020,Brasil,2897.6666666666665
2020,Centro-Oeste,3408.695652173913
2020,Nordeste,2129.167701863354
2020,Norte,2369.430894308943
2020,Sudeste,3198.281690140845
2020,Sul,3240.0
2021,Brasil,2722.6666666666665
2021,Centro-Oeste,3214.5652173913045
2021,Nordeste,1985.7701863354037
2021,Norte,2267.4552845528456
2021,Sudeste,3011.7042253521126
2021,Sul,3067.6666666666665
2022,Brasil,2705.6666666666665
2022,Centro-Oeste,3279.1739130434785
2022,Nordeste,1969.3664596273293
2022,Norte,2359.3414634146343
2022,Sudeste,2986.9154929577467
2022,Sul,3091.3333333333335
2023,Brasil,2903.0
2023,Centro-Oeste,3513.1304347826085
2023,Nordeste,2068.11801242236
2023,Norte,2564.1129032258063
2023,Sudeste,3254.8169014084506
2023,Sul,3234.6666666666665
