Ano,Regiao,Renda_Media
2016,norte,2343.032520325203
2023,sul,3234.6666666666665
2015,centro-oeste,3302.304347826087
2017,centro-oeste,3318.478260869565
2022,brasil,2705.6666666666665
2015,sul,3134.0
2014,norte,2474.8677685950415
2017,nordeste,1977.2608695652175
2021,centro-oeste,3214.5652173913045
2019,sudeste,3141.8732394366198
2021,sudeste,3011.7042253521126
2017,sul,3157.3333333333335
2018,sudeste,3111.0281690140846
2023,norte,2564.1129032258063
2013,centro-oeste,3380.4347826086955
2014,sudeste,3154.9014084507044
2022,sul,3091.3333333333335
2016,sudeste,3068.6901408450703
2014,nordeste,2017.223602484472
2020,norte,2369.430894308943
2023,sudeste,3254.8169014084506
2014,centro-oeste,3464.913043478261
2017,norte,2377.5853658536585
2023,centro-oeste,3513.1304347826085
2021,nordeste,1985.7701863354037
2019,centro-oeste,3299.086956521739
2015,brasil,2791.3333333333335
2021,brasil,2722.6666666666665
2016,brasil,2760.1666666666665
2013,nordeste,1957.6273291925465
2016,nordeste,1984.4037267080746
2016,sul,3102.6666666666665
2022,centro-oeste,3279.1739130434785
2022,nordeste,1969.3664596273293
2022,norte,2359.3414634146343
2013,sudeste,3040.042253521127
2019,brasil,2805.1666666666665
2020,sudeste,3198.281690140845
2018,nordeste,2014.44099378882
2023,nordeste,2068.11801242236
2013,sul,3192.245283018868
2013,norte,2462.876033057851
2017,sudeste,3003.5915492957747
2014,brasil,2899.1666666666665
2022,sudeste,2986.9154929577467
2021,sul,3067.6666666666665
2018,brasil,2833.1666666666665
2014,sul,3265.4716981132074
2018,norte,2472.7723577235774
2013,brasil,2821.3333333333335
2015,sudeste,3059.788732394366
2021,norte,2267.4552845528456
2015,nordeste,1992.1180124223602
2017,brasil,2783.0
2018,sul,3180.3333333333335
2020,brasil,2897.6666666666665
2020,centro-oeste,3408.695652173913
2020,nordeste,2129.167701863354
2020,sul,3240.0
2019,nordeste,2002.0621118012423
2016,centro-oeste,3252.5652173913045
2019,sul,3237.3333333333335
2018,centro-oeste,3365.4347826086955
2015,norte,2489.55737704918
2019,norte,2342.308943089431
2023,brasil,2903.0
